Initial packet size,Initial TTL,Window size,DF flag,port,Max Segment Size,Window Scalling Value,sackOK,Target
0,66,128,32,1,49201,1460,8,1,windows
1,66,128,32,1,49202,1460,8,1,windows
2,66,54,15525,1,49202,1410,8,1,windows
3,54,128,2,1,49202,0,0,0,windows
4,66,55,15525,1,49201,1410,8,1,windows
5,54,128,2,1,49201,0,0,0,windows
6,234,128,2,1,49201,0,0,0,windows
7,234,128,2,1,49202,0,0,0,windows
8,54,54,42240,1,49202,0,0,0,windows
9,1464,54,42496,1,49202,0,0,0,windows
10,738,54,42496,1,49202,0,0,0,windows
11,54,128,64769,1,49202,0,0,0,windows
12,54,55,42240,1,49201,0,0,0,windows
13,1464,55,42496,1,49201,0,0,0,windows
14,737,55,42496,1,49201,0,0,0,windows
15,54,128,64769,1,49201,0,0,0,windows
16,180,128,64769,1,49201,0,0,0,windows
17,180,128,64769,1,49202,0,0,0,windows
18,105,54,42496,1,49202,0,0,0,windows
19,105,55,42496,1,49201,0,0,0,windows
20,838,128,64769,1,49201,0,0,0,windows
21,54,55,42496,1,49201,0,0,0,windows
22,695,55,42496,1,49201,0,0,0,windows
23,54,128,64001,1,49201,0,0,0,windows
24,66,128,32,1,49203,1460,8,1,windows
25,66,128,32,1,49204,1460,8,1,windows
26,66,54,15525,1,49203,1410,8,1,windows
27,54,128,2,1,49203,0,0,0,windows
28,66,55,15525,1,49204,1410,8,1,windows
29,54,128,2,1,49204,0,0,0,windows
30,230,128,2,1,49203,0,0,0,windows
31,230,128,2,1,49204,0,0,0,windows
32,54,54,42240,1,49203,0,0,0,windows
33,1464,54,42496,1,49203,0,0,0,windows
34,737,54,42496,1,49203,0,0,0,windows
35,54,128,64769,1,49203,0,0,0,windows
36,54,55,42240,1,49204,0,0,0,windows
37,1464,55,42496,1,49204,0,0,0,windows
38,737,55,42496,1,49204,0,0,0,windows
39,54,128,64769,1,49204,0,0,0,windows
40,180,128,64769,1,49203,0,0,0,windows
41,180,128,64769,1,49204,0,0,0,windows
42,105,54,42496,1,49203,0,0,0,windows
43,105,55,42496,1,49204,0,0,0,windows
44,834,128,64769,1,49203,0,0,0,windows
45,54,54,42496,1,49203,0,0,0,windows
46,435,54,42496,1,49203,0,0,0,windows
47,54,128,65025,1,49203,0,0,0,windows
48,54,128,64001,1,49203,0,0,0,windows
49,54,128,62721,1,49203,0,0,0,windows
50,54,128,61185,1,49203,0,0,0,windows
51,54,128,59905,1,49203,0,0,0,windows
52,54,128,58369,1,49203,0,0,0,windows
53,54,128,57089,1,49203,0,0,0,windows
54,54,128,55553,1,49203,0,0,0,windows
55,54,128,54273,1,49203,0,0,0,windows
56,54,128,52737,1,49203,0,0,0,windows
57,54,128,51457,1,49203,0,0,0,windows
58,54,128,49921,1,49203,0,0,0,windows
59,54,128,48641,1,49203,0,0,0,windows
60,54,128,47105,1,49203,0,0,0,windows
61,54,128,45825,1,49203,0,0,0,windows
62,54,128,44289,1,49203,0,0,0,windows
63,54,128,43009,1,49203,0,0,0,windows
64,54,128,41473,1,49203,0,0,0,windows
65,54,128,40193,1,49203,0,0,0,windows
66,54,128,38657,1,49203,0,0,0,windows
67,54,128,37377,1,49203,0,0,0,windows
68,54,128,35841,1,49203,0,0,0,windows
69,54,128,34561,1,49203,0,0,0,windows
70,54,128,33025,1,49203,0,0,0,windows
71,54,128,31745,1,49203,0,0,0,windows
72,54,128,30209,1,49203,0,0,0,windows
73,54,128,28929,1,49203,0,0,0,windows
74,54,128,27393,1,49203,0,0,0,windows
75,54,128,26113,1,49203,0,0,0,windows
76,516,54,42496,1,49203,0,0,0,windows
77,54,128,25601,1,49203,0,0,0,windows
